date,kickoff_utc,group,home,away,city,status,result,p_home,p_draw,p_away,xg_home,xg_away,xg_total,score_1,p_score_1,score_2,p_score_2,score_3,p_score_3,p_over_2.5,p_under_2.5,p_btts,elo_home,elo_away,attack_home,defense_home,attack_away,defense_away,model_version,frozen_at
2026-07-05,,A,Mexico,England,Mexico City,jugado,2-3,0.3232,0.2762,0.4006,1.2655,1.3724,2.6379,1-1,0.1316,0-1,0.0995,1-2,0.093,0.4908,0.5092,0.5443,2023.1697,2200.9698,1.3832,0.5243,1.7762,0.5554,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-05,,C,Brazil,Norway,East Rutherford,jugado,1-2,0.4291,0.2622,0.3087,1.6861,1.3989,3.085,1-1,0.1198,2-1,0.088,1-2,0.0746,0.593,0.407,0.6243,2075.1489,2025.4733,1.8243,0.57,1.7876,0.6879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-06,,K,Portugal,Spain,Dallas,jugado,0-1,0.1886,0.2624,0.549,0.8278,1.5,2.3278,0-1,0.1566,1-1,0.1222,0-2,0.1114,0.4128,0.5872,0.4482,2063.712,2329.1025,1.7107,0.5279,1.8885,0.399,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-06,,D,United States,Belgium,Seattle,jugado,1-4,0.2749,0.2471,0.478,1.511,2.0258,3.5368,1-1,0.1029,1-2,0.086,2-2,0.0759,0.6816,0.3184,0.6881,1860.6739,2028.2272,1.4104,0.8281,1.8279,0.5938,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-07,,J,Argentina,Egypt,Atlanta,jugado,3-2,0.6565,0.2277,0.1158,1.687,0.6311,2.3181,1-0,0.1823,2-0,0.1439,2-1,0.1045,0.4104,0.5896,0.3959,2251.4898,1853.1517,1.9508,0.4372,1.218,0.5728,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-07,,B,Switzerland,Colombia,Vancouver,jugado,0-0,0.29,0.2832,0.4268,1.0468,1.3145,2.3613,1-1,0.1334,0-1,0.1212,0-0,0.0988,0.4208,0.5792,0.4792,2007.1029,2088.4248,1.5459,0.6147,1.5353,0.5062,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-09,,I,France,Morocco,Foxborough,jugado,2-0,0.3802,0.2891,0.3307,1.1551,1.1251,2.2802,1-1,0.135,1-0,0.1265,0-0,0.1061,0.3998,0.6002,0.4651,2143.9726,2039.1695,1.9083,0.6061,1.5199,0.3947,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-10,,H,Spain,Belgium,Inglewood,jugado,2-1,0.5817,0.2471,0.1712,1.6823,0.879,2.5614,1-0,0.1383,1-1,0.1175,2-0,0.1111,0.4732,0.5268,0.4914,2329.1025,2028.2272,1.8885,0.399,1.8279,0.5938,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-11,,I,Norway,England,Miami Gardens,jugado,1-2,0.2488,0.2556,0.4956,1.2576,1.7636,3.0212,1-1,0.1182,1-2,0.1025,0-1,0.085,0.5801,0.4199,0.607,2025.4733,2200.9698,1.7876,0.6879,1.7762,0.5554,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-11,,J,Argentina,Switzerland,Kansas City,jugado,3-1,0.575,0.2484,0.1766,1.7033,0.8725,2.5758,1-0,0.1301,1-1,0.118,2-0,0.1113,0.4759,0.5241,0.4865,2251.4898,2007.1029,1.9508,0.4372,1.5459,0.6147,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-14,,I,France,Spain,Arlington,jugado,0-2,0.2176,0.2606,0.5218,0.9912,1.6185,2.6097,1-1,0.1242,0-1,0.1178,1-2,0.1004,0.4841,0.5159,0.514,2143.9726,2329.1025,1.9083,0.6061,1.8885,0.399,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-15,,L,England,Argentina,Atlanta,jugado,1-2,0.2864,0.2764,0.4371,1.0934,1.4351,2.5285,1-1,0.1316,0-1,0.105,1-2,0.0865,0.4633,0.5367,0.5115,2200.9698,2251.4898,1.7762,0.5554,1.9508,0.4372,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
